Copyright 1986-2022 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------
| Tool Version : Vivado v.2022.1 (lin64) Build 3526262 Mon Apr 18 15:47:01 MDT 2022
| Date         : Wed Jul 31 10:36:39 2024
| Host         : aoi running 64-bit Ubuntu 18.04.6 LTS
| Command      : report_utilization -file util.toggle.txt -hierarchical
| Design       : blackparrot_bd_1_wrapper
| Device       : xc7z045ffg900-2
| Speed File   : -2
| Design State : Routed
------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+-----------------------------------------------------------------------------------------------------------+-----------------------------------------------------------------+------------+------------+---------+------+-------+--------+--------+------------+
|                                                  Instance                                                 |                              Module                             | Total LUTs | Logic LUTs | LUTRAMs | SRLs |  FFs  | RAMB36 | RAMB18 | DSP Blocks |
+-----------------------------------------------------------------------------------------------------------+-----------------------------------------------------------------+------------+------------+---------+------+-------+--------+--------+------------+
| blackparrot_bd_1_wrapper                                                                                  |                                                           (top) |      67738 |      62762 |    4251 |  725 | 48386 |    304 |      4 |         11 |
|   blackparrot_bd_1_i                                                                                      |                                                blackparrot_bd_1 |      67738 |      62762 |    4251 |  725 | 48386 |    304 |      4 |         11 |
|     bram_0                                                                                                |                                       blackparrot_bd_1_bram_0_0 |         28 |         27 |       0 |    1 |    17 |      1 |      0 |          0 |
|       inst                                                                                                |                                                       bram_bd_1 |         28 |         27 |       0 |    1 |    17 |      1 |      0 |          0 |
|         axi_bram_ctrl_0                                                                                   |                                     bram_bd_1_axi_bram_ctrl_0_0 |         25 |         25 |       0 |    0 |    12 |      0 |      0 |          0 |
|           U0                                                                                              |                                                   axi_bram_ctrl |         25 |         25 |       0 |    0 |    12 |      0 |      0 |          0 |
|             gext_inst.abcv4_0_ext_inst                                                                    |                                               axi_bram_ctrl_top |         25 |         25 |       0 |    0 |    12 |      0 |      0 |          0 |
|               GEN_AXI4LITE.I_AXI_LITE                                                                     |                                                        axi_lite |         25 |         25 |       0 |    0 |    12 |      0 |      0 |          0 |
|         axi_bram_ctrl_0_bram                                                                              |                                bram_bd_1_axi_bram_ctrl_0_bram_0 |          4 |          3 |       0 |    1 |     5 |      1 |      0 |          0 |
|           U0                                                                                              |                                              blk_mem_gen_v8_4_5 |          4 |          3 |       0 |    1 |     5 |      1 |      0 |          0 |
|             inst_blk_mem_gen                                                                              |                                        blk_mem_gen_v8_4_5_synth |          4 |          3 |       0 |    1 |     5 |      1 |      0 |          0 |
|               gnbram.gnative_mem_map_bmg.native_mem_map_blk_mem_gen                                       |                                                 blk_mem_gen_top |          4 |          3 |       0 |    1 |     5 |      1 |      0 |          0 |
|                 valid.cstr                                                                                |                                        blk_mem_gen_generic_cstr |          4 |          3 |       0 |    1 |     5 |      1 |      0 |          0 |
|                   ramloop[0].ram.r                                                                        |                                          blk_mem_gen_prim_width |          4 |          3 |       0 |    1 |     5 |      1 |      0 |          0 |
|                     (ramloop[0].ram.r)                                                                    |                                          blk_mem_gen_prim_width |          2 |          1 |       0 |    1 |     5 |      0 |      0 |          0 |
|                     prim_noinit.ram                                                                       |                                        blk_mem_gen_prim_wrapper |          2 |          2 |       0 |    0 |     0 |      1 |      0 |          0 |
|     top_0                                                                                                 |                                        blackparrot_bd_1_top_0_0 |      57788 |      54525 |    3241 |   22 | 36863 |    299 |      3 |         11 |
|       (top_0)                                                                                             |                                        blackparrot_bd_1_top_0_0 |          0 |          0 |       0 |    0 |     0 |      0 |      0 |          0 |
